12C16O	2169.6589	1.207e-23	35.14	0.0545	0.059	2543.0567	0.71	-0.002	15	14
12C16O	2170.1397	4.385e-29	53.37	0.0483	0.051	5300.1117	0.67	-0.003	24	23
12C16O	2172.7588	4.465e-19	17.17	0.0606	0.066	107.6424	0.75	-0.003	8	7
12C16O	2172.8912	9.778e-24	35.38	0.0538	0.058	2600.1249	0.7	-0.002	16	15
12C16O	2172.9957	2.95e-29	53.65	0.0477	0.051	5390.3747	0.67	-0.003	25	24
12C16O	2175.8130	1.946e-29	53.91	0.0471	0.05	5484.3687	0.67	-0.003	26	25
12C16O	2176.0862	7.743e-24	35.61	0.0531	0.057	2660.9855	0.69	-0.002	17	16
12C16O	2176.2835	4.335e-19	17.37	0.0595	0.065	138.3904	0.75	-0.002	9	8
12C16O	2178.5915	1.259e-29	54.17	0.0465	0.049	5582.0901	0.67	-0.003	27	26
12C16O	2179.2437	5.999e-24	35.84	0.0524	0.056	2725.6361	0.68	-0.002	18	17
12C16O	2179.7719	4.079e-19	17.55	0.0586	0.064	172.978	0.75	-0.003	10	9
12C16O	2181.3311	7.986e-30	54.44	0.046	0.049	5683.5351	0.67	-0.003	28	27
12C16O	2182.3636	4.548e-24	36.05	0.0517	0.055	2794.0743	0.67	-0.002	19	18
12C16O	2183.2238	3.729e-19	17.72	0.0577	0.063	211.4041	0.75	-0.003	11	10
12C16O	2184.0316	4.97e-30	54.69	0.0454	0.048	5788.6996	0.67	-0.003	29	28
12C16O	2185.4457	3.376e-24	36.27	0.051	0.054	2866.2975	0.67	-0.002	20	19
12C16O	2186.6391	3.319e-19	17.88	0.0569	0.062	253.6672	0.74	-0.003	12	11
12C16O	2186.6928	3.033e-30	54.95	0.0448	0.047	5897.5796	0.67	-0.003	30	29
12C16O	2188.4899	2.454e-24	36.48	0.0503	0.053	2942.3028	0.67	-0.002	21	20
12C16O	2189.3146	1.816e-30	55.2	0.0443	0.047	6010.1709	0.67	-0.003	31	30
12C16O	2190.0176	2.879e-19	18.01	0.0561	0.06	299.7656	0.73	-0.003	13	12
12C16O	2191.4959	1.747e-24	36.68	0.0496	0.053	3022.0873	0.67	-0.002	22	21
12C16O	2191.8969	1.067e-30	55.45	0.0438	0.046	6126.4691	0.67	-0.003	32	31
12C16O	2193.3592	2.437e-19	18.15	0.0553	0.059	349.6975	0.72	-0.003	14	13
12C16O	2194.4395	6.149e-31	55.69	0.0432	0.046	6246.4695	0.67	-0.003	33	32
12C16O	2194.4638	1.219e-24	36.88	0.049	0.052	3105.6479	0.67	-0.002	23	22
12C16O	2196.6637	2.015e-19	18.29	0.0545	0.059	403.4612	0.71	-0.003	15	14
12C16O	2196.9422	3.478e-31	55.93	0.0427	0.045	6370.1677	0.67	-0.003	34	33
12C16O	2197.3932	8.338e-25	37.07	0.0483	0.051	3192.9815	0.67	-0.003	24	23
12C16O	2199.4050	1.931e-31	56.16	0.0422	0.045	6497.5586	0.67	-0.003	35	34
12C16O	2199.9310	1.627e-19	18.41	0.0538	0.058	461.0544	0.7	-0.003	16	15
12C16O	2200.2842	5.587e-25	37.27	0.0477	0.051	3284.0846	0.67	-0.003	25	24
12C16O	2201.8277	1.052e-31	56.4	0.0417	0.044	6628.6374	0.67	-0.003	36	35
12C16O	2203.1365	3.67e-25	37.46	0.0471	0.05	3378.9537	0.67	-0.003	26	25
12C16O	2203.1610	1.285e-19	18.53	0.0531	0.057	522.4751	0.69	-0.003	17	16
12C16O	2205.9499	2.364e-25	37.64	0.0465	0.049	3477.5851	0.67	-0.003	27	26
12C16O	2206.3535	9.927e-20	18.65	0.0524	0.056	587.7209	0.68	-0.003	18	17
12C16O	2208.7245	1.493e-25	37.83	0.046	0.049	3579.9751	0.67	-0.003	28	27
12C16O	2209.5083	7.504e-20	18.77	0.0517	0.055	656.7892	0.67	-0.003	19	18
12C16O	2211.4599	9.246e-26	38.01	0.0454	0.048	3686.1198	0.67	-0.003	29	28
12C16O	2212.6254	5.553e-20	18.87	0.051	0.054	729.6774	0.67	-0.003	20	19
12C16O	2214.1560	5.616e-26	38.19	0.0448	0.047	3796.0149	0.67	-0.003	30	29
12C16O	2215.7045	4.023e-20	18.98	0.0503	0.053	806.3828	0.67	-0.003	21	20
12C16O	2216.8128	3.346e-26	38.37	0.0443	0.047	3909.6562	0.67	-0.003	31	30
12C16O	2218.7455	2.855e-20	19.09	0.0496	0.053	886.9024	0.67	-0.003	22	21
12C16O	2219.4301	1.955e-26	38.54	0.0438	0.046	4027.0395	0.67	-0.003	32	31
